"gene","log2FC","pvalue","padj","mean_iface","mean_distal","cscore","sig"
"MPDU1",-0.44810942317495,0.00195334827302939,0.00622352531144119,0.206350268411747,0.285156135900581,0.988513049369549,FALSE
"RNF2",-0.402606594917529,0.000920913394288009,0.00350794385712574,0.0939227651377977,0.127374889242533,0.988377999692707,FALSE
"PRKAB1",-0.402186804504654,0.000920913394288009,0.00350794385712574,0.119013159167345,0.160492116447349,0.987347436324382,FALSE
"UBE2Q1",-0.350930517194074,0.000304798916702945,0.00153800132693964,0.260318071346159,0.334759063447104,0.987182736592406,FALSE
"SETBP1",0.487758385953744,0.00333617930475641,0.00947042431715509,0.205835730784529,0.143919426770691,0.987042776802557,FALSE
"VEZT",-0.391990563895099,0.000757881069919366,0.00303412730580929,0.199570519811976,0.264998996061032,0.987018991019973,FALSE
"SYNGR2",-0.391916934882075,0.000757881069919366,0.00303412730580929,0.922974712293639,1.21418943133028,0.986833595653763,FALSE
"RALGPS2",-0.473241218777377,0.00279860219090708,0.00824081208682764,0.0746087984016553,0.107456033166758,0.986248891894381,FALSE
"MRPS15",-0.40689649632285,0.00101409868521604,0.00377373216529438,0.201636757522238,0.270594497132542,0.986003359958723,FALSE
"IL17RC",-0.350275288737252,0.000304798916702945,0.00153800132693964,0.33142318707136,0.425247595608062,0.98533955057863,FALSE
"CORO1C",0.509186465879037,0.00432018404033112,0.0116421392073871,0.261697297877636,0.180899556579024,0.984749929841948,TRUE
"SSPO",-0.630431911739699,0.0123447457586171,0.0274201015069372,0.0141128502186651,0.0273273762306703,0.984691109657884,TRUE
"AL158071.3",-0.446335234248693,0.00195239108878541,0.00622352531144119,0.00691857865701676,0.0130528257963698,0.98459925328549,FALSE
"FO704657.1",-0.427697525034671,0.00148021574432067,0.00500920698579908,0.00525300094629126,0.010516585353233,0.983803115299764,FALSE
"DIS3L",-0.362300499934287,0.000415502152508517,0.00193072803341354,0.114851088635792,0.150492836035728,0.98338460155643,FALSE
"SPATA7",-0.42746226751413,0.00148097718579686,0.00500920698579908,0.0537624632844193,0.0757519591447616,0.983261968652758,FALSE
"AC090515.2",-0.433233774322237,0.00161704513851891,0.00538895571080034,0.00530849116565635,0.0106703937280507,0.982788817955093,FALSE
"CDC73",-0.385408060634814,0.000686822188203561,0.0028304097410521,0.205502233828471,0.271495309769904,0.982077815552255,FALSE
"DNAJC3",-0.394880500542319,0.000835716821727253,0.00326381881433842,0.323516433799962,0.428518695714444,0.981781105182248,FALSE
"BCAM",-0.438631498074923,0.00178237553750544,0.00578584758350899,0.533990312642357,0.727279916409158,0.98149631982262,FALSE
"ZNF516",0.558138483761916,0.00711349403577258,0.0175241058566187,0.188109204787283,0.124551402614077,0.980294413609695,TRUE
"DLC1",0.567218038571164,0.00771180501793697,0.0187120866992472,0.121998128741816,0.0790877787784924,0.980083444675329,TRUE
"NPAS2",-0.522780423036604,0.00511526202312653,0.0133779022154705,0.105371817854592,0.155757170295304,0.979487664978202,TRUE
"DRG1",-0.379319862585058,0.000621997586746996,0.00261881895859328,0.21129161915234,0.277840316175099,0.979363875947051,FALSE
"E4F1",-0.431424367028039,0.00162525754625207,0.00538895571080034,0.219887794506257,0.300018484630929,0.978684185857454,FALSE
"CCNK",-0.384064681894017,0.000686822188203561,0.0028304097410521,0.168184376781898,0.222533009250497,0.978654684087261,FALSE
"PDCD11",-0.388602723505875,0.000757881069919366,0.00303412730580929,0.15959699167137,0.212023641083538,0.978488523425342,FALSE
"TGM3",-0.999635428349801,0.0619653367596917,0.105040915977135,0.0182637410973091,0.0465131994021908,0.978284714823531,FALSE
"HAUS6",-0.414177287342169,0.00122718303399639,0.00434880835223277,0.059575934422875,0.0827126158603298,0.978133395629928,FALSE
"FIGNL1",-0.476307550239713,0.00305662922817479,0.00885434958794354,0.0271164879604678,0.0416356603494001,0.977784780004919,FALSE
"AC103691.1",-0.575194891029709,0.00835482733564452,0.0199874800468932,0.0420871127912355,0.0676034806481925,0.977395292170718,TRUE
"DAPL1",-0.697196081783289,0.0192923797065616,0.0396766326945614,0.0410151548168906,0.072713451273889,0.977096041297933,TRUE
"BCL10",-0.462038959211976,0.00256061528714459,0.00769555800200357,0.0867612218182778,0.123287348787014,0.976639416902212,FALSE
"NSG1",-0.920438002912323,0.0498636902105405,0.08696874974221,0.0574341599591317,0.117631948599514,0.976250393406941,FALSE
"ATP13A3",-0.43029851902955,0.00162525754625207,0.00538895571080034,0.241109463121758,0.328373108302629,0.976130204867947,FALSE
"UFM1",-0.350814149132019,0.000338194810029338,0.0016525849585213,0.304428281359219,0.390984129137862,0.975907501077577,FALSE
